0,"Ocean"
1,"Plains"
2,"Desert"
3,"Extreme Hills"
4,"Forest"
5,"Taiga"
6,"Swampland"
7,"River"
8,"Hell"
9,"The End"
10,"FrozenOcean"
11,"FrozenRiver"
12,"Ice Plains"
13,"Ice Mountains"
14,"MushroomIsland"
15,"MushroomIslandShore"
16,"Beach"
17,"DesertHills"
18,"ForestHills"
19,"TaigaHills"
20,"Extreme Hills Edge"
21,"Jungle"
22,"JungleHills"
23,"JungleEdge"
24,"Deep Ocean"
25,"Stone Beach"
26,"Cold Beach"
27,"Birch Forest"
28,"Birch Forest Hills"
29,"Roofed Forest"
30,"Cold Taiga"
31,"Cold Taiga Hills"
32,"Mega Taiga"
33,"Mega Taiga Hills"
34,"Extreme Hills+"
35,"Savanna"
36,"Savanna Plateau"
37,"Mesa"
38,"Mesa Plateau F"
39,"Mesa Plateau"
40,"Gravel Beach"
41,"White Beach"
42,"Origin Beach"
43,"Alps"
44,"Bamboo Forest"
45,"Bayou"
46,"Bog"
47,"Boreal Forest"
48,"Brushland"
49,"Chaparral"
50,"Cherry Blossom Grove"
51,"Cold Desert"
52,"Coniferous Forest"
53,"Crag"
54,"Dead Forest"
55,"Dead Swamp"
56,"Eucalyptus Forest"
57,"Fen"
58,"Flower Field"
59,"Grassland"
60,"Grove"
61,"Highland"
62,"Land of Lakes"
63,"Lavender Fields"
64,"Lush Desert"
65,"Lush Swamp"
66,"Mangrove"
67,"Maple Woods"
68,"Marsh"
69,"Meadow"
70,"Moor"
71,"Mountain"
72,"Mystic Grove"
73,"Ominous Woods"
74,"Orchard"
75,"Outback"
76,"Overgrown Cliffs"
77,"Prairie"
78,"Quagmire"
79,"Rainforest"
80,"RedwoodForest"
81,"Sacred Springs"
82,"Seasonal Forest"
83,"Shield"
84,"Shrubland"
85,"Snowy Coniferous Forest"
86,"Snowy Forest"
87,"Steppe"
88,"Temperate Rainforest"
89,"Tropical Rainforest"
90,"Tundra"
91,"Wasteland"
92,"Wetland"
93,"Woodland"
94,"Xeric Shrubland"
95,"AlpsFoothills"
96,"MountainFoothills"
97,"RedwoodForestEdge"
98,"Pasture"
99,"Glacier"
100,"Oasis"
101,"SnowyTundra"
102,"Coral Reef"
103,"Kelp Forest"
104,"Origin Island"
105,"Tropical Island"
106,"Volcanic Island"
107,"Flower Island"
108,"Corrupted Sands"
109,"Fungi Forest"
110,"Phantasmagoric Inferno"
111,"Undergarden"
112,"Visceral Heap"
113,"Prairie"
114,"Redwoods"
115,"Redwood Peaks"
116,"Willow Swamp"
117,"Boreal Forest"
118,"Snowy Boreal Forest"
119,"Aspen Grove"
120,"Overgrown Spires"
121,"Blossoming Fields"
122,"pocket"
123,"Empty Nether"
124,"Gravel Desert"
125,"Nether Jungle"
126,"Wart Forest"
127,"The Void"
128,"Nether Grasslands"
129,"Sunflower Plains"
130,"Desert M"
131,"Extreme Hills M"
132,"Flower Forest"
133,"Taiga M"
134,"Swampland M"
135,"Nether Mushroom Forest"
136,"Nether Mushroom Forest Edge"
137,"Nether Wart Forest Edge"
138,"Bone Reef"
139,"Poor Nether Grasslands"
140,"Ice Plains Spikes"
141,"Megalake"
142,"Crystal Mountains"
143,"Foggy Mushroomland"
144,"Dust Wastelands"
145,"Chorus Forest"
146,"Shadow Forest"
147,"Blossoming Spires"
148,"Sulphur Springs"
149,"Jungle M"
150,"Amber Land"
151,"JungleEdge M"
152,"Umbrella Jungle"
153,"Glowing Grasslands"
154,"Dragon Graveyards"
155,"Birch Forest M"
156,"Birch Forest Hills M"
157,"Roofed Forest M"
158,"Cold Taiga M"
159,"Lantern Woods"
160,"Mega Spruce Taiga"
161,"Redwood Taiga Hills M"
162,"Extreme Hills+ M"
163,"Savanna M"
164,"Savanna Plateau M"
165,"Mesa (Bryce)"
166,"Mesa Plateau F M"
167,"Mesa Plateau M"
168,"Dry Shrubland"
169,"Umbra Valley"
170,"Ice Starfield"
171,"Empty End Cave"
172,"Empty Smaragdant Cave"
173,"Lush Smaragdant Cave"
174,"Empty Aurora Cave"
175,"Lush Aurora Cave"
176,"End Cave"
177,"Jade Cave"
178,"Megalake Grove"
179,"Painted Mountains"
180,"Neon Oasis"
181,"Glacier"
182,"Defiled Desert"
183,"Defiled Plains"
184,"Tenebra Forest"
185,"Vilespine Forest"
186,"Defiled Hills"
187,"Defiled Swamp"
