"Mod name","Registry name","BlockID","Subtypes","Item ID","Item meta","Display name","Exists","Ore Dict keys","NBT"
"Abyssal Depths","abyssaldepths:seaweed",754,"false",4738,0,"Seaweed","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:animal_farm",761,"false",4774,0,"Animal Farm","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:auto_crafting",769,"false",4782,0,"Auto Crafting Table","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:chunk_loader_deluxe",782,"false",4795,0,"Deluxe Chunk Loader","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:chunk_loader_simple",781,"false",4794,0,"Simple Chunk Loader","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:crop_farm",759,"false",4772,0,"Crop Farm","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:fish_farm",762,"false",4775,0,"Fish Farm","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_controller",771,"true",4784,0,"Light Flywheel Controller","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_controller",771,"true",4784,1,"Medium Flywheel Controller","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_controller",771,"true",4784,2,"Heavy Flywheel Controller","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_storage",772,"true",4785,0,"Light Flywheel Energy Storage","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_storage",772,"true",4785,1,"Medium Flywheel Energy Storage","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:flywheel_storage",772,"true",4785,2,"Heavy Flywheel Energy Storage","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:fruit_farm",760,"false",4773,0,"Fruit Farm","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:hand_cranked_generator",778,"false",4791,0,"Hand Cranked Torque Generator","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:mailbox",770,"false",4783,0,"Mailbox","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:quarry",757,"false",4770,0,"Quarry","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:stirling_generator",776,"false",4789,0,"Stirling Generator","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_distributor",775,"true",4788,0,"Light Torque Distributor","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_distributor",775,"true",4788,1,"Medium Torque Distributor","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_distributor",775,"true",4788,2,"Heavy Torque Distributor","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_junction",773,"true",4786,0,"Light Torque Junction","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_junction",773,"true",4786,1,"Medium Torque Junction","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_junction",773,"true",4786,2,"Heavy Torque Junction","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_shaft",774,"true",4787,0,"Light Torque Shaft","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_shaft",774,"true",4787,1,"Medium Torque Shaft","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:torque_shaft",774,"true",4787,2,"Heavy Torque Shaft","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:tree_farm",758,"false",4771,0,"Tree Farm","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_control",763,"false",4776,0,"Warehouse Control Block","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_crafting",766,"false",4779,0,"Warehouse Crafting Table","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_interface",765,"false",4778,0,"Warehouse Interface","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_stock_linker",768,"false",4781,0,"Warehouse Stock Linker","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_stock_viewer",767,"false",4780,0,"Warehouse Stock Viewer","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_storage",764,"true",4777,0,"Small Warehouse Storage","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_storage",764,"true",4777,1,"Medium Warehouse Storage","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:warehouse_storage",764,"true",4777,2,"Large Warehouse Storage","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:waterwheel_generator",777,"false",4790,0,"Waterwheel Generator","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:windmill_blade",779,"false",4792,0,"Windmill Blade","true","",""
"Ancient Warfare Automation","ancientwarfareautomation:windmill_generator",780,"false",4793,0,"Windmill Controller","true","",""
"Ancient Warfare Core","ancientwarfare:engineering_station",755,"false",4751,0,"Engineering Bench","true","",""
"Ancient Warfare Core","ancientwarfare:research_station",756,"false",4752,0,"Research Bench","true","",""
"Ancient Warfare NPCs","ancientwarfarenpc:town_hall",783,"false",4855,0,"Town Hall","true","",""
