"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Hunger","Saturation","Ore Dict keys"
"Abyssal Depths","abyssaldepths:bannerfish",4731,0,"false","Bannerfish",3,0.4,""
"Abyssal Depths","abyssaldepths:butterflyfish",4732,0,"false","Butterflyfish",2,0.1,""
"Abyssal Depths","abyssaldepths:cooked_butterflyfish",4733,0,"false","Cooked Butterflyfish",6,0.6,""
"Abyssal Depths","abyssaldepths:masked_butterflyfish",4734,0,"false","Masked Butterflyfish",2,0.1,""
"Abyssal Depths","abyssaldepths:raccoon_butterflyfish",4735,0,"false","Raccoon Butterflyfish",2,0.1,""
"Abyssal Depths","abyssaldepths:spotfin_butterflyfish",4736,0,"false","Spotfin Butterflyfish",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,0,"true","Jellyfish",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,1,"true","Magma Jellyfish",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,2,"true","Mud Tuna",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,3,"true","Frost Minnow",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,4,"true","Piranha",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,5,"true","Golden Koi",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,6,"true","Specular Snapper",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,7,"true","Cave Trout",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,8,"true","Obsidian Bream",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,9,"true","Nether Sturgeon",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,10,"true","Quartz Chub",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,11,"true","Flarefin Koi",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,12,"true","Blaze Pike",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,13,"true","Ender Shad",1,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,14,"true","Pearl Sardine",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,15,"true","Chorus Koi",2,0.1,""
"Advanced Fishing","advanced-fishing:fish",4738,16,"true","Explosive Crucian",1,0.1,""
